Date,EURO
01/07/2025,100.8476
30/06/2025,100.4451
27/06/2025,100.1992
26/06/2025,100.1353
25/06/2025,99.7646
24/06/2025,100.0308
23/06/2025,99.8969
20/06/2025,99.756
19/06/2025,99.339
18/06/2025,99.3394
17/06/2025,99.5916
16/06/2025,99.3958
13/06/2025,99.3151
12/06/2025,98.5475
11/06/2025,97.5642
10/06/2025,97.613
09/06/2025,97.6625
06/06/2025,98.1132
05/06/2025,97.8916
04/06/2025,97.7066
03/06/2025,97.5994
02/06/2025,97.4156
30/05/2025,96.9375
29/05/2025,96.2595
28/05/2025,96.9072
27/05/2025,97.1306
26/05/2025,96.9093
23/05/2025,96.9367
22/05/2025,97.1205
21/05/2025,97.0343
20/05/2025,96.198
19/05/2025,95.6832
16/05/2025,95.9554
15/05/2025,95.9939
14/05/2025,95.4117
13/05/2025,94.2962
09/05/2025,96.2882
08/05/2025,95.7568
07/05/2025,96.1319
06/05/2025,95.6926
05/05/2025,95.4028
02/05/2025,94.9483
30/04/2025,96.737
29/04/2025,97.0792
28/04/2025,96.8605
25/04/2025,97.1245
24/04/2025,97.0516
23/04/2025,97.2976
22/04/2025,97.9788
21/04/2025,98.0268
17/04/2025,97.2552
16/04/2025,97.3668
15/04/2025,97.2073
11/04/2025,97.1097
09/04/2025,95.8054
08/04/2025,94.2972
07/04/2025,94.4605
04/04/2025,94.3401
03/04/2025,93.7438
02/04/2025,92.3901
28/03/2025,92.3246
27/03/2025,92.4452
26/03/2025,92.6118
25/03/2025,92.5875
24/03/2025,93.0171
21/03/2025,93.3452
20/03/2025,94.0236
19/03/2025,94.4943
18/03/2025,94.5523
17/03/2025,94.4187
13/03/2025,94.7472
12/03/2025,95.1355
11/03/2025,94.8973
10/03/2025,94.5528
07/03/2025,94.1979
06/03/2025,94.0888
05/03/2025,92.6314
04/03/2025,91.5885
03/03/2025,90.9498
28/02/2025,90.7807
27/02/2025,91.3126
25/02/2025,91.1568
24/02/2025,91.1117
21/02/2025,90.9108
20/02/2025,90.4467
18/02/2025,90.957
17/02/2025,91.0262
14/02/2025,90.8581
13/02/2025,90.6732
12/02/2025,89.961
11/02/2025,89.5442
10/02/2025,90.3564
07/02/2025,90.761
06/02/2025,90.9836
05/02/2025,90.6022
04/02/2025,89.7011
03/02/2025,89.2674
31/01/2025,90.0094
30/01/2025,90.1821
29/01/2025,90.3896
28/01/2025,90.3347
27/01/2025,90.4031
24/01/2025,90.2149
23/01/2025,89.9897
22/01/2025,90.0807
21/01/2025,89.7755
20/01/2025,89.2051
17/01/2025,89.0798
16/01/2025,88.9687
15/01/2025,89.0733
14/01/2025,88.695
13/01/2025,88.3563
10/01/2025,88.3488
09/01/2025,88.4731
08/01/2025,88.8946
07/01/2025,89.1382
06/01/2025,88.52
03/01/2025,88.1056
02/01/2025,88.8924
01/01/2025,88.7597
31/12/2024,89.0852
30/12/2024,89.136
27/12/2024,89.1109
26/12/2024,88.6712
24/12/2024,88.5646
23/12/2024,88.781
20/12/2024,88.1705
19/12/2024,88.3595
18/12/2024,89.2592
17/12/2024,89.1659
16/12/2024,89.1769
13/12/2024,88.7398
12/12/2024,89.1961
11/12/2024,89.2947
10/12/2024,89.6552
09/12/2024,89.3189
06/12/2024,89.5324
05/12/2024,89.2001
04/12/2024,89.1098
03/12/2024,88.9054
02/12/2024,89.1275
29/11/2024,89.3568
28/11/2024,89.1168
27/11/2024,88.5338
26/11/2024,88.3184
25/11/2024,88.3656
22/11/2024,88.4458
21/11/2024,89.077
19/11/2024,89.4217
18/11/2024,88.9686
14/11/2024,89.063
13/11/2024,89.5658
12/11/2024,89.7707
11/11/2024,90.4256
08/11/2024,90.9243
07/11/2024,90.6565
06/11/2024,90.2472
05/11/2024,91.5139
04/11/2024,91.6565
31/10/2024,91.2505
30/10/2024,90.9903
29/10/2024,90.8791
28/10/2024,90.746
25/10/2024,90.9557
24/10/2024,90.7011
23/10/2024,90.8118
22/10/2024,91.0038
21/10/2024,91.2695
18/10/2024,91.1716
17/10/2024,91.2072
16/10/2024,91.4621
15/10/2024,91.592
14/10/2024,91.8812
11/10/2024,91.9343
10/10/2024,91.8666
09/10/2024,92.0627
08/10/2024,92.2057
07/10/2024,92.0987
04/10/2024,92.6218
03/10/2024,92.6077
01/10/2024,93.3145
30/09/2024,93.534
27/09/2024,93.4608
26/09/2024,93.3215
25/09/2024,93.487
24/09/2024,92.8855
23/09/2024,93.2064
20/09/2024,93.2853
19/09/2024,93.144
17/09/2024,93.2991
16/09/2024,93.1502
13/09/2024,92.9537
12/09/2024,92.549
11/09/2024,92.7058
10/09/2024,92.7095
09/09/2024,92.9036
06/09/2024,93.3092
05/09/2024,93.0974
04/09/2024,92.7921
03/09/2024,92.8067
02/09/2024,92.7679
30/08/2024,92.9083
29/08/2024,93.3896
28/08/2024,93.592
27/08/2024,93.7513
26/08/2024,93.7693
23/08/2024,93.3362
22/08/2024,93.5884
21/08/2024,93.2892
20/08/2024,92.8225
19/08/2024,92.6909
16/08/2024,92.2185
14/08/2024,92.2726
13/08/2024,91.8224
12/08/2024,91.6915
09/08/2024,91.6697
08/08/2024,91.832
07/08/2024,91.6212
06/08/2024,91.8304
05/08/2024,91.4387
02/08/2024,90.4666
01/08/2024,90.6107
31/07/2024,90.6222
30/07/2024,90.6056
29/07/2024,90.9162
26/07/2024,90.8596
25/07/2024,90.7038
24/07/2024,90.7746
23/07/2024,91.0516
22/07/2024,91.0581
19/07/2024,91.0655
18/07/2024,91.4384
16/07/2024,90.9764
15/07/2024,90.9931
12/07/2024,90.7685
11/07/2024,90.5277
10/07/2024,90.3264
09/07/2024,90.3929
08/07/2024,90.3005
05/07/2024,90.3709
04/07/2024,90.1094
03/07/2024,89.7219
02/07/2024,89.6411
01/07/2024,89.8464
28/06/2024,89.249
27/06/2024,89.2882
26/06/2024,89.406
25/06/2024,89.57
24/06/2024,89.401
21/06/2024,89.5362
20/06/2024,89.6423
19/06/2024,89.5496
18/06/2024,89.5358
14/06/2024,89.5505
13/06/2024,90.2741
12/06/2024,89.7901
11/06/2024,89.9325
10/06/2024,89.7788
07/06/2024,90.8439
06/06/2024,90.807
05/06/2024,90.6747
04/06/2024,91.0195
03/06/2024,90.1542
31/05/2024,90.121
30/05/2024,90.0508
29/05/2024,90.4226
28/05/2024,90.4468
27/05/2024,90.1132
24/05/2024,89.893
22/05/2024,90.3879
21/05/2024,90.5505
17/05/2024,90.6832
16/05/2024,90.8342
15/05/2024,90.3926
14/05/2024,90.0825
13/05/2024,89.9792
10/05/2024,90.0133
09/05/2024,89.6675
08/05/2024,89.7549
07/05/2024,89.8287
06/05/2024,89.8309
03/05/2024,89.5007
02/05/2024,89.4818
30/04/2024,89.3405
29/04/2024,89.4607
26/04/2024,89.4288
25/04/2024,89.4072
24/04/2024,89.1124
23/04/2024,88.7387
22/04/2024,88.9698
19/04/2024,88.8874
18/04/2024,89.2736
16/04/2024,88.5593
15/04/2024,88.9071
12/04/2024,89.1261
10/04/2024,90.2945
08/04/2024,90.2535
05/04/2024,90.3068
04/04/2024,90.4927
03/04/2024,89.8499
02/04/2024,89.447
28/03/2024,90.2178
27/03/2024,90.2243
26/03/2024,90.4334
22/03/2024,90.2625
21/03/2024,90.9118
20/03/2024,90.3077
19/03/2024,90.1321
18/03/2024,90.2755
15/03/2024,90.1676
14/03/2024,90.6624
13/03/2024,90.5933
12/03/2024,90.5054
11/03/2024,90.4442
07/03/2024,90.233
06/03/2024,90.0113
05/03/2024,89.9687
04/03/2024,89.9028
01/03/2024,89.5766
29/02/2024,89.8621
28/02/2024,89.7842
27/02/2024,89.9395
26/02/2024,89.7192
23/02/2024,89.7114
22/02/2024,89.8692
21/02/2024,89.6115
20/02/2024,89.358
16/02/2024,89.35
15/02/2024,89.064
14/02/2024,89.0553
13/02/2024,89.3893
12/02/2024,89.572
09/02/2024,89.4037
08/02/2024,89.4694
07/02/2024,89.2943
06/02/2024,89.3009
05/02/2024,89.5245
02/02/2024,90.1322
01/02/2024,89.6105
31/01/2024,89.8826
30/01/2024,89.9625
29/01/2024,90.1655
25/01/2024,90.4175
24/01/2024,90.33
23/01/2024,90.6027
19/01/2024,90.4457
18/01/2024,90.6376
17/01/2024,90.2531
16/01/2024,90.6108
15/01/2024,90.84
12/01/2024,91.0922
11/01/2024,91.1135
10/01/2024,90.8965
09/01/2024,91.0544
08/01/2024,90.8932
05/01/2024,90.8803
04/01/2024,90.9944
03/01/2024,91.2811
02/01/2024,91.9232
01/01/2024,91.8401
29/12/2023,92.0049
28/12/2023,92.4523
27/12/2023,92.0154
26/12/2023,91.6836
22/12/2023,91.5559
21/12/2023,91.1572
20/12/2023,91.146
19/12/2023,90.8664
18/12/2023,90.6311
15/12/2023,91.3696
14/12/2023,90.8593
13/12/2023,89.9276
12/12/2023,89.803
11/12/2023,89.7969
08/12/2023,89.8992
07/12/2023,89.7352
06/12/2023,89.9505
05/12/2023,90.3881
04/12/2023,90.6276
01/12/2023,90.9404
30/11/2023,91.4816
29/11/2023,91.6443
28/11/2023,91.3149
24/11/2023,90.93
23/11/2023,90.9532
22/11/2023,90.8451
21/11/2023,91.3062
20/11/2023,90.9829
17/11/2023,90.3648
16/11/2023,90.2225
15/11/2023,90.4008
13/11/2023,89.0648
10/11/2023,88.9138
09/11/2023,89.1749
08/11/2023,88.9797
07/11/2023,89.1391
06/11/2023,89.358
03/11/2023,88.5283
02/11/2023,88.2388
01/11/2023,88.0393
31/10/2023,88.3236
30/10/2023,87.9506
27/10/2023,87.8984
26/10/2023,87.7041
25/10/2023,88.121
23/10/2023,87.9617
20/10/2023,87.9166
19/10/2023,87.7592
18/10/2023,88.1715
17/10/2023,87.7169
16/10/2023,87.7061
13/10/2023,87.7616
12/10/2023,88.485
11/10/2023,88.2538
10/10/2023,87.8957
09/10/2023,87.796
06/10/2023,87.6815
05/10/2023,87.4716
04/10/2023,87.0782
03/10/2023,87.068
29/09/2023,87.9379
28/09/2023,87.3442
27/09/2023,87.9201
26/09/2023,88.0581
25/09/2023,88.4543
22/09/2023,88.347
21/09/2023,88.511
20/09/2023,88.9966
18/09/2023,88.7559
15/09/2023,88.5662
14/09/2023,89.1516
13/09/2023,89.1122
12/09/2023,89.0576
11/09/2023,88.9511
08/09/2023,89.1486
07/09/2023,89.1821
06/09/2023,89.1785
05/09/2023,89.3169
04/09/2023,89.2559
01/09/2023,89.6169
31/08/2023,90.2242
30/08/2023,90.0061
29/08/2023,89.3836
28/08/2023,89.3615
25/08/2023,89.1681
24/08/2023,89.7364
23/08/2023,90.0581
22/08/2023,90.6926
21/08/2023,90.422
18/08/2023,90.4351
17/08/2023,90.4758
14/08/2023,90.6982
11/08/2023,91.0233
10/08/2023,91.0602
09/08/2023,90.8708
08/08/2023,91.0621
07/08/2023,90.8376
04/08/2023,90.6713
03/08/2023,90.466
02/08/2023,90.6468
01/08/2023,90.4595
31/07/2023,90.5787
28/07/2023,90.316
27/07/2023,90.9584
26/07/2023,90.717
25/07/2023,90.6572
24/07/2023,91.1559
21/07/2023,91.4017
20/07/2023,91.9928
19/07/2023,92.1315
18/07/2023,92.2823
17/07/2023,92.2905
14/07/2023,92.0994
13/07/2023,91.5064
12/07/2023,90.7693
11/07/2023,90.7506
10/07/2023,90.4798
07/07/2023,90.0747
